#molecule,temp,vector,a0,tau,S0
ethyne,142,acf,0.035768,0.0505291,0.964232
ethyne,147,acf,0.0440519,0.0526985,0.955948
ethyne,152,acf,0.0431408,0.0502754,0.956859
ethyne,157,acf,0.0525426,0.399515,0.947412
ethyne,162,acf,0.0529374,0.235972,0.947062
ethyne,167,acf,0.238802,5420.09,0.705621
ethyne,172,acf,0.743696,1275.26,0.159216
ethyne,177,acf,0.995695,1.2173,3.13967e-05
ethyne,182,acf,0.996658,1.13469,-2.89954e-06
ethyne,187,acf,0.997708,1.05506,2.32212e-05
ethyne,197,acf,0.99859,0.949714,2.01845e-05
ethyne,202,acf,0.998953,0.887805,5.08348e-05
ethyne,207,acf,0.999243,0.839786,3.72209e-05
ethyne,212,acf,0.999467,0.792441,2.38575e-05
ethyne,217,acf,0.999601,0.76021,1.7166e-05
ethyne,222,acf,0.999714,0.726072,1.40629e-06
ethyne,227,acf,0.999772,0.687212,3.54815e-05
ethyne,232,acf,0.999828,0.663009,9.77357e-06
ethyne,237,acf,0.99992,0.623739,1.3949e-05
ethyne,242,acf,0.999965,0.600462,-1.21101e-05
furan,122,acf,0.567716,586.059,0.347266
furan,122,plane,0.460549,785.636,0.461941
furan,127,acf,0.688156,496.799,0.198643
furan,127,plane,0.533929,617.622,0.369303
furan,132,acf,0.823594,283.02,0.0449892
furan,132,plane,0.798628,421.396,0.0746691
furan,137,acf,0.870842,174.637,0.0107324
furan,137,plane,0.868366,244.052,-0.000457388
furan,142,acf,0.871669,126.343,0.00534983
furan,142,plane,0.856672,173.96,0.00414165
furan,147,acf,0.877572,88.5235,0.000918214
furan,147,plane,0.857384,118.053,-0.000744173
furan,152,acf,0.876359,67.0635,0.00190475
furan,152,plane,0.866538,82.2466,0.00173822
furan,157,acf,0.87891,49.3108,0.000588509
furan,157,plane,0.868974,58.7621,-0.000373774
furan,162,acf,0.882099,40.0318,0.00219266
furan,162,plane,0.866572,47.7778,0.00177256
furan,167,acf,0.887642,32.4964,0.000160805
furan,167,plane,0.867654,38.5794,-0.000156531
furan,172,acf,0.886082,27.2619,0.000905016
furan,172,plane,0.868031,31.3755,0.000531074
furan,177,acf,0.896043,22.3409,0.000827835
furan,177,plane,0.87772,25.4396,0.000742399
furan,182,acf,0.898722,19.0774,-3.12829e-05
furan,182,plane,0.882218,21.0811,0.00061739
furan,192,acf,0.905559,14.588,0.000543468
furan,192,plane,0.885081,15.9465,0.00120992
furan,197,acf,0.910674,12.6582,0.000518494
furan,197,plane,0.89368,13.6238,0.000387944
furan,202,acf,0.915403,11.3384,0.000933115
furan,202,plane,0.89866,12.2144,0.000723465
furan,207,acf,0.920104,9.90686,0.000517498
furan,207,plane,0.903366,10.5555,0.00057512
furan,212,acf,0.925392,8.88537,0.00036443
furan,212,plane,0.90981,9.41661,0.000659734
furan,217,acf,0.928866,8.07318,0.000390394
furan,217,plane,0.912391,8.527,0.000744624
furan,222,acf,0.932278,7.39302,0.000411188
furan,222,plane,0.917261,7.77739,0.000556549
furan,227,acf,0.936241,6.65827,0.000585637
furan,227,plane,0.923867,6.92622,0.000295065
furan,232,acf,0.939989,6.20356,0.000409303
furan,232,plane,0.928954,6.39615,0.000327437
furan,237,acf,0.946023,5.63649,0.000452797
furan,237,plane,0.932943,5.85474,0.00037717
formaldehyde,131,acf,0.249479,1.88469,0.729567
formaldehyde,131,plane,0.90907,2.36129,0.00242698
formaldehyde,136,acf,0.265451,1.18437,0.727689
formaldehyde,136,plane,0.963628,1.49315,0.00191373
formaldehyde,141,acf,0.266917,1.40116,0.720489
formaldehyde,141,plane,0.948171,1.64545,0.0024577
formaldehyde,146,acf,0.272097,1.07142,0.7224
formaldehyde,146,plane,0.97107,1.33521,0.0013927
formaldehyde,151,acf,0.276696,0.949593,0.719468
formaldehyde,151,plane,0.97681,1.20304,0.00127402
formaldehyde,156,acf,0.284472,0.795633,0.713735
formaldehyde,156,plane,0.989359,0.979346,0.000885124
formaldehyde,161,acf,0.285413,0.78803,0.712746
formaldehyde,161,plane,0.989077,0.971794,0.000539873
formaldehyde,166,acf,0.905916,4.07035,0.000917056
formaldehyde,166,plane,0.989989,1.12851,0.000200315
formaldehyde,171,acf,0.914617,3.68354,0.000550448
formaldehyde,171,plane,0.992025,1.05417,7.63861e-05
formaldehyde,176,acf,0.925228,3.28488,0.000470116
